occupation,category,,,,,,,
APOTHECARY,MEDICINE,,,,,,,
ARCHITECT,ENGINEER,,,,,,,
AUTHOR,EDUCATION,,,,,,,
BAKER,FOOD/DRINK,,,,,,,
BARBER,OTHER,,,,,,,
BLACKSMITH,ARTISAN,,,,,,,
BOOKBINDER,ARTISAN,,,,,,,
BOOTMAKER,TEXTILE,,,,,,,
BRASSFOUNDER,ARTISAN,,,,,,,
BREWER,FOOD/DRINK,,,,,,,
BRICKLAYER,LABORER,,,,,,,
BRICKMAKER,ARTISAN,,,,,,,
BUTCHER,FOOD,,,,,,,
CABINET MAKER,ARTISAN,,,,,,,
CAPTAIN,MERCHANT,,,,,,,
CARPENTER,ARTISAN,,,,,,,
CHEMIST,MEDICINE,,,,,,,
CHIMNEYMAKER,ARTISAN,,,,,,,
CIGARMAKER,ARTISAN,,,,,,,
CLERK,OTHER,,,,,,,
CLOTHMAKER,TEXTILE,,,,,,,
CLOTHWEAVER,TEXTILE,,,,,,,
COACHDRIVER,SERVANT,,,,,,,
COACHMAN,SERVANT,,,,,,,
COMMISSIONER,MERCHANT,,,,,,,
CONFECTIONER,FOOD/DRINK,,,,,,,
COOPER,ARTISAN,,,,,,,
COPPERSMITH,ARTISAN,,,,,,,
COTTON WEAVER,ARTISAN,,,,,,,
COUNTRY MAN,LABORER,,,,,,,
CULTIVATOR,FARMER,,,,,,,
DISTILLER,FOOD/DRINK,,,,,,,
DOCTOR,MEDICINE,,,,,,,
DRESSMAKER,TEXTILE,,,,,,,
DYER,TEXTILE,,,,,,,
ENGINEER,ENGINEER,,,,,,,
ENGRAVER,ARTISAN,,,,,,,
FARMER,FARMER,,,,,,,
GARDENER,LABORER,,,,,,,
GENTLEMAN,MERCHANT,,,,,,,
GEOLOGIST,EDUCATION,,,,,,,
GEOMETER,EDUCATION,,,,,,,
GLAZIER,ARTISAN,,,,,,,
GOLDSMITH,ARTISAN,,,,,,,
GUNSMITH,ARTISAN,,,,,,,
HATTER,TEXTILE,,,,,,,
HOTEL KEEPER,MERCHANT,,,,,,,
HUNTER,FARMER,,,,,,,
JEWELLER,ARTISAN,,,,,,,
JOINER,ARTISAN,,,,,,,
JURIST,LEGAL,,,,,,,
LABORER,LABORER,,,,,,,
LACE MAKER,TEXTILE,,,,,,,
LADY,MERCHANT,,,,,,,
LAWYER,LEGAL,,,,,,,
LOCKSMITH,ARTISAN,,,,,,,
MACHINIST,ARTISAN,,,,,,,
MANUFACTURER,ENGINEER,,,,,,,
MARINER,OTHER,,,,,,,
MASON,ARTISAN,,,,,,,
MECHANIC,ENGINEER,,,,,,,
MERCHANT,MERCHANT,,,,,,,
MILITARY,OTHER,,,,,,,
MILLER,ARTISAN,,,,,,,
MUSICIAN,OTHER,,,,,,,
NEEDLEMAKER,ARTISAN,,,,,,,
PAINTER,ARTISAN,,,,,,,
PAPERHANGER,ARTISAN,,,,,,,
PASTOR,CLERGY,,,,,,,
PHILOSPHER,OTHER,,,,,,,
PHYSICIAN,MEDICINE,,,,,,,
PINMAKER,ARTISAN,,,,,,,
PLUSHMAKER,ARTISAN,,,,,,,
POTTER,ARTISAN,,,,,,,
PREACHER,CLERGY,,,,,,,
PRIEST,CLERGY,,,,,,,
PRINTER,ARTISAN,,,,,,,
PROFESSOR,EDUCATION,,,,,,,
ROPER,ARTISAN,,,,,,,
SADDLER,ARTISAN,,,,,,,
SAILMAKER,ARTISAN,,,,,,,
SCHOOLMASTER,EDUCATION,,,,,,,
SEAMAN,OTHER,,,,,,,
SEAMSTRESS,ARTISAN,,,,,,,
SERVANT,SERVANT,,,,,,,
SERVANT GIRL,SERVANT,,,,,,,
SHEPHERD,OTHER,,,,,,,
SHIPBUILDER,ENGINEER,,,,,,,
SHOEMAKER,ARTISAN,,,,,,,
SILVERSMITH,ARTISAN,,,,,,,
SOAPBOILER,ARTISAN,,,,,,,
SOLDIER,OTHER,,,,,,,
STUDENT,EDUCATION,,,,,,,
SURGEON,MEDICINE,,,,,,,
SURVEYOR,MERCHANT,,,,,,,
TAILOR,TEXTILE,,,,,,,
TANNER,ARTISAN,,,,,,,
TEACHER,EDUCATION,,,,,,,
TILER,ARTISAN,,,,,,,
TINMAN,ARTISAN,,,,,,,
TURNER,ARTISAN,,,,,,,
TUTOR,EDUCATION,,,,,,,
UMBRELLA MAKER,ARTISAN,,,,,,,
VARNISHER,ARTISAN,,,,,,,
WAGONEER,LABORER,,,,,,,
WAITER,SERVANT,,,,,,,
WEAVER,TEXTILE,,,,,,,
WHEELWRIGHT,ARTISAN,,,,,,,
WORKMAN,LABORER,,,,,,,
,,,,,,,,